game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
L (10-24),1,21,64.3,245,0,29,56,1,1.9,65,4.6,12,4,1,17,8,69,0,1,0.172,0,2.5,74.4,1.0,27.0,5.0,74.0,0.317,1.63
W (27-20),0,16,52.6,153,1,45,196,2,4.4,70,5.0,7,11,3,21,5,44,0,0,0.265,1,3.86,63.8,0.375,48.0,64.0,108.0,0.373,1.19
W (33-7),1,20,58.3,254,1,40,177,3,4.4,69,6.2,11,11,0,22,6,46,0,1,0.28,1,4.25,62.7,0.5,46.0,48.0,104.0,0.517,1.27
L (17-52),1,14,66.7,173,0,45,179,2,4.0,69,5.1,6,11,1,18,9,68,0,1,0.042,0,3.4,77.9,0.667,29.0,9.0,88.0,0.333,1.37
W (38-25),0,26,17,394,3,47,146,1,3.1,88,6.1,19,11,0,30,5,26,0,0,0.206,1,5.29,71.5,1.0,48.0,19.0,93.0,0.455,1.44
W (42-7),1,20,50.0,254,2,45,261,4,5.8,66,7.8,12,12,5,29,4,25,1,0,0.244,1,5.25,68.7,1.0,44.0,64.0,123.0,0.711,0.96
L (14-21),2,12,20,134,1,40,189,1,4.7,67,4.8,8,8,1,17,2,28,1,1,0.143,1,2.8,77.4,0.667,42.0,63.0,120.0,0.358,1.31
L (20-38),1,8,34,76,0,35,197,1,5.6,57,4.8,3,11,1,15,7,53,0,1,0.132,0,2.0,67.0,1.0,36.0,63.0,105.0,0.455,0.94
W (24-21),2,7,27,86,1,41,181,2,4.4,60,4.5,5,7,3,15,5,33,1,1,0.152,1,6.0,72.2,0.667,30.0,51.0,119.0,0.328,1.15
L (27-30),2,26,12,270,2,28,159,1,5.7,73,5.9,16,6,5,27,1,10,1,1,0.171,0,3.33,72.8,0.25,32.0,61.0,94.0,0.451,1.16
W (17-10),2,19,22,183,0,38,147,1,3.9,67,4.9,9,8,2,19,6,38,1,1,0.266,1,2.6,67.5,0.5,29.0,31.0,100.0,0.388,1.15
W (28-17),1,24,58.1,299,4,23,115,0,5.0,61,6.8,14,5,1,20,10,70,0,1,0.145,1,3.5,66.6,0.0,32.0,30.0,77.0,0.424,1.44
W (45-28),2,15,63.2,205,1,31,160,3,5.2,60,6.1,9,7,3,19,10,106,0,2,0.226,0,5.17,72.6,0.6,34.0,76.0,67.0,0.356,1.7
L (13-51),0,10,61.5,128,2,24,55,0,2.3,50,3.7,7,4,1,12,5,60,0,0,0.138,0,4.67,70.4,0.0,13.0,1.0,25.0,0.342,1.36
L (27-33),0,28,51.7,372,2,24,72,1,3.0,63,7.0,20,2,2,24,4,21,0,0,0.075,1,3.86,74.5,0.25,20.0,4.0,64.0,0.476,1.27
L (21-49),2,17,47.4,158,1,24,95,2,4.0,55,4.6,6,3,2,11,4,19,1,1,0.204,1,4.2,72.7,0.75,4.0,0.0,27.0,0.362,1.06
W (38-31),1,12,38.5,206,3,25,83,1,3.3,47,6.1,9,7,0,16,0,0,0,1,0.132,0,5.17,63.5,1.0,28.0,37.0,47.0,0.383,1.86
W (55-7),0,17,78.6,181,3,37,269,3,7.3,63,7.1,9,13,1,23,2,25,0,0,0.588,1,5.86,63.3,0.667,17.0,89.0,42.0,0.552,1.43
L (35-38),1,17,65.4,198,1,39,242,4,6.2,73,6.0,9,12,4,25,5,31,0,1,0.141,0,4.38,72.4,0.833,54.0,86.0,119.0,0.458,1.44
W (52-40),1,21,46.7,296,6,43,203,1,4.7,71,7.0,10,14,0,24,5,55,1,0,0.138,0,5.78,60.7,0.667,54.0,41.0,150.0,0.577,1.15
L (24-27),0,18,50.0,276,2,29,131,1,4.5,62,6.6,14,9,0,23,2,20,0,0,0.113,0,4.0,75.1,1.0,35.0,21.0,109.0,0.532,1.1
W (62-17),0,18,57.7,321,3,40,277,6,6.9,68,8.8,13,14,2,29,5,51,0,0,0.735,1,7.0,66.8,0.5,39.0,59.0,91.0,0.581,1.77
L (7-31),1,19,75.0,220,1,24,53,0,2.2,59,4.6,11,3,3,17,4,23,0,1,0.103,0,1.75,79.8,1.0,1.0,0.0,39.0,0.314,1.33
W (23-19),0,14,76.9,204,2,46,112,1,2.4,65,4.9,6,12,3,21,5,50,0,0,0.262,1,5.67,71.0,0.5,36.0,6.0,122.0,0.46,1.06
W (34-27),1,18,73.7,341,2,36,201,2,5.6,61,8.9,11,11,0,22,7,41,1,0,0.195,1,2.86,75.2,1.0,56.0,58.0,120.0,0.467,1.47
L (39-49),2,30,63.9,411,2,21,116,3,5.5,68,7.8,17,6,0,23,11,63,0,2,0.141,1,4.38,81.1,1.0,33.0,62.0,65.0,0.471,1.63
W (34-12),0,15,72.0,205,1,40,213,3,5.3,65,6.4,10,12,0,22,6,55,0,0,0.235,1,5.4,69.9,1.0,57.0,49.0,130.0,0.477,1.27
W (36-7),1,18,80.5,275,1,51,255,2,5.0,75,7.1,10,14,2,26,7,50,0,1,0.227,1,4.29,79.8,1.0,65.0,102.0,155.0,0.549,1.22
W (48-14),0,12,63.8,112,2,43,258,3,6.0,64,5.8,5,9,3,17,7,65,0,0,0.92,0,5.86,59.9,0.8,24.0,102.0,88.0,0.417,1.26
W (20-13),1,12,65.2,153,0,47,224,2,4.8,73,5.2,9,11,0,20,7,59,0,1,0.14,0,4.0,67.5,1.0,57.0,40.0,139.0,0.423,1.18
W (14-7),1,9,46.2,117,1,48,102,0,2.1,65,3.4,7,6,0,13,4,30,1,0,0.288,1,1.4,64.1,0.5,31.0,16.0,108.0,0.323,0.88
W (34-14),0,15,61.9,128,0,53,317,4,6.0,75,5.9,5,15,1,21,3,38,0,0,0.236,1,3.38,62.4,0.727,59.0,87.0,189.0,0.507,1.11
L (6-35),2,16,52.9,142,0,36,99,0,2.8,66,3.7,7,5,1,13,3,25,0,2,0.091,1,1.5,70.3,0.167,1.0,0.0,34.0,0.227,1.32
L (28-35),2,17,41.9,267,2,27,115,2,4.3,57,6.7,6,8,3,17,8,97,0,2,0.081,0,5.25,80.3,0.833,37.0,12.0,103.0,0.491,1.15
W (23-17),0,6,68.2,61,0,53,268,2,5.1,63,5.2,5,15,2,22,2,15,0,0,0.071,1,3.83,67.9,0.778,49.0,54.0,174.0,0.492,1.02
W (30-13),1,21,69.7,228,2,32,228,1,7.1,65,7.0,7,9,1,17,10,88,1,0,0.297,1,3.29,64.5,1.0,51.0,90.0,138.0,0.484,1.14
W (41-20),2,21,34,239,1,40,238,3,6.0,72,6.6,11,13,0,24,7,58,0,2,0.226,1,3.86,69.0,1.0,56.0,64.0,143.0,0.507,1.05
L (20-34),1,28,33,271,2,38,133,0,3.5,79,5.1,12,10,0,22,8,55,1,0,0.127,0,4.0,72.8,0.333,47.0,37.0,135.0,0.38,1.2
L (7-36),3,22,65.6,267,1,23,83,0,3.6,57,6.1,8,6,1,15,9,95,2,1,0.169,0,0.0,72.8,0.333,18.0,9.0,33.0,0.455,0.82
W (48-24),1,31,50.0,449,4,32,168,2,5.3,79,7.8,19,11,1,31,10,108,1,0,0.196,1,4.86,70.8,0.75,36.0,31.0,104.0,0.507,1.44
W (56-0),2,25,58.1,346,2,44,344,6,7.8,78,8.8,12,15,2,29,7,44,0,2,0.25,1,5.25,70.5,1.0,37.0,116.0,69.0,0.538,1.76
W (56-28),0,18,73.5,388,5,41,194,3,4.7,62,9.4,11,9,2,22,4,50,0,0,0.25,1,5.83,64.4,0.75,24.0,55.0,66.0,0.615,1.99
W (33-20),1,17,56.5,145,1,40,185,2,4.6,64,5.2,6,10,1,17,6,35,1,0,0.258,1,3.71,58.6,0.5,39.0,70.0,113.0,0.468,1.12
W (23-0),0,11,85.7,117,0,48,234,2,4.9,64,5.5,6,14,0,20,4,45,0,0,0.361,1,4.6,68.8,0.833,63.0,35.0,123.0,0.58,0.97
W (31-24),1,19,60.0,243,2,31,180,1,5.8,59,7.2,10,6,3,19,7,60,0,1,0.217,1,3.4,72.8,0.833,24.0,100.0,63.0,0.492,1.13
L (31-38),3,24,70.8,242,2,43,161,2,3.7,76,5.3,13,10,0,23,3,40,2,1,0.234,1,4.43,68.0,0.5,50.0,17.0,122.0,0.513,1.06
L (28-42),2,21,55.8,141,0,45,220,4,4.9,70,5.2,4,15,3,22,4,44,2,0,0.154,1,4.67,71.8,0.867,57.0,75.0,147.0,0.586,0.82
W (38-20),2,25,60.5,287,1,34,243,3,7.1,70,7.6,11,15,2,28,4,50,0,2,0.217,1,4.63,72.6,0.4,47.0,80.0,122.0,0.536,1.19
W (31-9),1,21,69.4,223,3,31,139,1,4.5,67,5.4,10,6,2,18,4,50,0,1,0.227,0,3.44,58.1,1.0,23.0,19.0,85.0,0.369,1.22
L (17-37),2,21,63.3,196,1,35,106,1,3.0,76,4.0,10,8,2,20,4,50,0,2,0.183,0,3.4,70.3,0.714,25.0,7.0,103.0,0.365,1.12
L (27-33),2,30,58.3,274,3,27,117,0,4.3,74,5.3,14,9,2,25,6,69,1,1,0.164,0,3.86,63.9,0.5,36.0,39.0,82.0,0.466,1.08
W (13-10),3,27,70.6,283,1,26,101,0,3.9,66,5.8,12,6,1,19,10,92,2,1,0.2,0,1.63,64.2,1.0,29.0,23.0,99.0,0.444,1.08
W (42-24),2,24,51.2,361,3,28,137,3,4.9,59,8.4,13,8,3,24,5,55,1,1,0.171,0,4.38,65.8,0.75,27.0,44.0,83.0,0.508,1.5
W (34-31),1,23,71.1,233,2,34,132,2,3.9,73,5.0,11,7,3,21,7,52,0,1,0.134,1,4.8,64.7,1.0,26.0,34.0,93.0,0.389,1.26
W (53-10),0,26,59.0,370,5,33,143,2,4.3,67,7.7,17,8,4,29,3,25,0,0,0.222,1,5.78,62.2,1.0,17.0,22.0,37.0,0.622,1.63
L (19-24),1,30,65.3,286,2,20,38,0,1.9,66,4.9,11,6,0,17,8,93,0,1,0.131,0,5.0,74.3,0.714,10.0,10.0,46.0,0.409,1.2
W (31-24),2,27,76.5,256,4,20,56,0,2.8,61,5.1,9,4,2,15,4,35,0,2,0.141,1,6.2,69.6,0.6,7.0,0.0,55.0,0.426,1.11
L (18-42),2,23,76.5,225,2,31,83,0,2.7,72,4.3,12,7,0,19,1,15,0,2,0.119,0,1.67,78.5,1.0,17.0,5.0,85.0,0.407,1.24
L (18-33),1,21,65.2,190,0,19,151,2,7.9,56,6.1,11,6,0,17,1,8,0,1,0.101,0,2.5,76.5,1.0,30.0,70.0,71.0,0.429,1.08
L (33-48),3,31,70.6,336,2,29,97,2,3.3,82,5.3,14,7,5,26,7,55,1,2,0.222,0,4.25,66.6,0.667,28.0,20.0,65.0,0.39,1.42
W (34-22),3,17,40,210,2,39,204,0,5.2,67,6.2,9,10,0,19,6,40,2,1,0.393,1,2.5,66.4,0.556,46.0,58.0,134.0,0.493,1.08
L (13-20),2,16,25,223,0,28,54,1,1.9,62,4.5,9,4,4,17,11,90,0,2,0.145,0,2.6,43.3,0.6,18.0,9.0,35.0,0.333,1.36
L (35-38),1,31,28,305,1,36,152,3,4.2,78,5.9,17,11,2,30,9,73,0,1,0.104,0,4.67,20.6,0.889,50.0,9.0,126.0,0.5,1.21
W (38-10),1,17,25,273,3,43,175,2,4.1,67,6.7,10,13,2,25,3,15,0,1,0.263,1,6.2,76.8,1.0,44.0,27.0,141.0,0.455,1.32
L (23-31),2,21,34,372,0,25,73,2,2.9,60,7.4,13,5,2,20,2,20,1,1,0.127,1,3.83,35.8,1.0,22.0,37.0,70.0,0.417,1.31
W (35-10),2,18,58.6,296,3,39,254,2,6.5,68,8.1,12,12,2,26,7,89,2,0,0.315,0,3.5,73.1,1.0,32.0,61.0,79.0,0.62,1.24
L (7-14),2,15,62.1,234,1,32,9,0,0.3,67,3.6,7,2,2,11,6,36,1,1,0.262,0,1.75,77.9,1.0,10.0,2.0,55.0,0.212,1.52
L (24-36),3,15,58.8,166,1,51,287,2,5.6,85,5.3,9,16,2,27,9,60,0,3,0.13,0,2.43,74.1,1.0,61.0,66.0,187.0,0.398,1.31
W (28-16),4,20,42.9,269,2,45,218,2,4.8,73,6.7,13,10,3,26,9,85,2,2,0.258,1,3.5,71.1,1.0,63.0,37.0,149.0,0.458,1.05
L (7-17),1,11,50.0,117,1,37,183,0,4.9,58,5.2,6,9,0,15,9,86,1,0,0.162,1,1.0,63.1,0.333,44.0,60.0,114.0,0.393,1.24
L (7-33),4,30,44.1,309,1,36,70,0,1.9,83,4.6,17,5,1,23,5,41,2,2,0.188,1,0.88,69.3,0.5,24.0,19.0,75.0,0.387,1.28
W (42-13),1,21,71.0,250,3,38,147,3,3.9,70,5.7,10,9,1,20,5,45,0,1,0.288,1,5.25,58.0,0.667,35.0,23.0,94.0,0.471,1.36
W (44-31),1,27,65.6,255,0,40,281,6,7.0,82,6.5,16,12,4,32,5,63,0,1,0.203,1,5.63,70.2,1.0,62.0,108.0,150.0,0.481,1.29
W (38-21),0,14,64.1,163,0,47,272,5,5.8,65,6.7,8,14,2,24,5,45,0,0,0.103,0,4.75,67.5,1.0,73.0,66.0,169.0,0.547,1.11
W (41-0),1,21,64.3,215,3,46,179,3,3.9,70,5.6,9,14,1,24,1,5,1,0,0.273,1,5.25,60.5,0.833,56.0,10.0,123.0,0.564,1.08
W (59-25),0,21,44.1,268,4,37,183,2,4.9,71,6.4,15,6,1,22,5,42,0,0,0.388,1,5.63,65.3,0.667,31.0,27.0,102.0,0.561,1.16
L (35-42),1,24,77.8,288,1,54,209,3,3.9,102,4.9,14,13,5,32,6,55,0,1,0.229,1,4.86,74.7,0.7,49.0,11.0,160.0,0.451,0.99
W (72-10),0,24,59.5,320,5,48,302,5,6.3,82,7.6,14,18,2,34,2,20,0,0,0.455,1,6.3,61.5,1.0,56.0,51.0,109.0,0.667,1.42
W (34-31),1,20,70.6,320,4,29,189,0,6.5,58,8.8,14,9,3,26,5,51,0,1,0.191,1,3.33,75.6,1.0,46.0,64.0,112.0,0.517,1.49
W (49-39),0,15,83.8,259,3,43,274,2,6.4,66,8.1,10,11,4,25,11,83,0,0,0.162,0,4.86,70.3,0.5,61.0,110.0,135.0,0.5,1.37
W (62-0),0,18,69.0,368,4,33,202,4,6.1,60,9.5,13,10,0,23,3,10,0,0,0.343,1,5.86,61.5,0.6,15.0,1.0,53.0,0.69,1.45
W (52-35),1,17,71.1,372,3,35,329,4,9.4,61,11.5,14,11,0,25,8,63,1,0,0.165,1,4.75,73.9,0.4,50.0,174.0,132.0,0.583,1.61
W (42-30),0,16,65.2,235,4,28,154,2,5.5,52,7.5,12,7,2,21,6,70,0,0,0.105,1,0.0,70.1,0.0,27.0,81.0,58.0,0.45,1.29
W (66-17),2,36,62.8,405,5,42,274,3,6.5,87,7.8,21,15,1,37,4,30,1,1,0.4,1,4.5,70.1,1.0,58.0,50.0,128.0,0.631,1.09
L (24-31),1,25,80.0,283,1,41,146,2,3.6,79,5.4,14,7,4,25,6,50,1,0,0.175,1,2.83,73.3,0.714,42.0,114.0,111.0,0.443,1.22
W (17-12),2,18,60.6,131,0,42,207,2,4.9,70,4.8,6,13,0,19,6,69,2,0,0.238,1,3.4,76.1,0.6,50.0,44.0,139.0,0.493,0.91
L (17-24),2,33,65.8,263,0,30,101,2,3.4,81,4.5,13,7,1,21,4,45,0,2,0.239,0,4.25,72.9,0.857,29.0,33.0,68.0,0.405,1.03
W (42-21),1,23,62.2,205,4,44,260,1,5.9,81,5.7,12,12,1,25,6,69,0,1,0.553,1,3.89,63.6,1.0,48.0,68.0,134.0,0.438,1.24
W (16-7),1,15,64.3,100,0,46,219,0,4.8,73,4.4,3,16,0,19,6,40,0,1,0.232,0,1.8,69.4,1.0,52.0,17.0,180.0,0.425,0.82
W (34-23),2,21,78.6,277,2,44,262,2,6.0,73,7.4,12,12,3,27,4,34,1,1,0.302,1,3.78,74.9,1.0,76.0,87.0,164.0,0.542,1.26
W (38-27),0,14,72.4,130,3,37,221,0,6.0,56,6.3,8,14,1,23,7,70,0,0,0.278,1,4.0,68.9,0.5,68.0,43.0,134.0,0.518,1.07
W (51-22),0,8,77.8,91,1,51,399,5,7.8,63,7.8,7,17,1,25,2,20,0,0,0.294,1,5.43,62.8,0.8,84.0,153.0,211.0,0.683,1.1
W (38-33),3,15,73.7,218,0,41,225,4,5.5,73,6.1,11,10,4,25,5,55,1,2,0.108,1,4.25,68.1,1.0,54.0,61.0,157.0,0.397,1.39
L (13-16),1,10,42.9,137,0,45,207,1,4.6,70,4.9,6,10,2,18,4,31,0,1,0.141,1,1.5,79.6,0.667,44.0,63.0,152.0,0.352,1.3
W (49-16),0,13,66.7,250,2,34,312,5,9.2,51,11.0,11,11,1,23,4,45,0,0,0.111,0,5.83,71.5,0.5,44.0,134.0,74.0,0.59,1.86
W (13-3),1,1,66.7,14,0,59,244,1,4.1,62,4.2,1,16,1,18,2,20,1,0,0.159,1,3.25,70.5,0.833,54.0,24.0,193.0,0.435,0.65
W (45-20),0,2,33.3,28,0,73,400,6,5.5,75,5.7,2,23,0,25,4,43,0,0,0.154,0,6.43,65.1,0.889,82.0,65.0,279.0,0.534,1.05
W (34-27),2,6,75.0,58,1,53,356,3,6.7,62,6.7,3,18,1,22,1,9,2,0,0.169,1,4.5,69.7,1.0,56.0,117.0,202.0,0.574,1.05
W (30-13),0,4,100.0,32,1,57,261,3,4.6,64,4.6,2,13,3,18,2,15,0,0,0.125,0,6.2,65.7,1.0,56.0,50.0,172.0,0.371,1.28
L (13-27),4,3,85.7,114,0,47,201,1,4.3,56,5.6,3,11,3,17,3,25,1,3,0.054,0,2.17,65.0,0.667,37.0,75.0,144.0,0.333,1.43
L (19-27),1,8,66.7,131,0,45,206,2,4.6,63,5.3,7,9,0,16,3,20,0,1,0.109,0,3.33,77.3,0.8,37.0,70.0,120.0,0.365,1.48
W (49-7),1,18,70.5,233,1,51,327,6,6.4,74,7.6,13,19,1,33,4,20,1,0,0.524,1,7.0,77.4,0.8,60.0,43.0,150.0,0.792,0.9
W (22-7),2,21,78.3,284,1,35,111,0,3.2,59,6.7,10,9,2,21,5,35,2,0,0.154,1,3.14,69.8,0.4,43.0,31.0,104.0,0.483,0.95
W (38-14),1,34,79.2,280,3,30,215,2,7.2,71,7.0,13,9,3,25,8,70,0,1,0.286,1,5.43,71.4,1.0,53.0,85.0,108.0,0.548,1.29
L (20-43),1,25,87.5,230,2,25,109,1,4.4,59,5.7,10,6,0,16,2,17,1,0,0.13,1,5.25,81.5,0.5,25.0,14.0,29.0,0.326,1.63
L (35-52),1,26,83.3,311,1,42,181,4,4.3,80,6.2,16,9,2,27,6,50,1,0,0.117,0,5.83,71.8,1.0,40.0,20.0,135.0,0.519,1.19
L (15-24),1,9,82.9,86,0,44,146,1,3.3,60,3.9,6,6,1,13,8,90,0,1,0.273,1,2.6,68.6,0.667,31.0,57.0,105.0,0.305,1.44
L (22-31),3,25,77.4,278,1,29,90,1,3.1,69,5.3,13,7,0,20,4,30,3,0,0.191,0,4.6,70.3,0.75,21.0,7.0,92.0,0.42,1.12
W (38-17),1,18,62.5,193,0,43,195,4,4.5,71,5.5,9,9,2,20,11,70,0,1,0.275,0,5.29,59.8,0.75,37.0,56.0,134.0,0.451,1.24
L (6-15),2,27,64.5,228,0,28,104,0,3.7,78,4.3,10,7,1,18,7,48,1,1,0.226,1,1.5,77.6,0.5,27.0,11.0,82.0,0.346,0.96
L (10-24),1,18,64.3,164,1,25,94,0,3.8,64,4.0,9,3,2,14,5,26,1,0,0.212,1,3.33,72.8,0.333,22.0,20.0,70.0,0.281,1.15
L (10-24),1,31,54.8,255,0,24,86,1,3.6,69,4.9,12,5,0,17,5,50,1,0,0.127,1,2.0,66.7,1.0,16.0,12.0,73.0,0.449,0.8
W (28-14),1,14,54.0,145,2,44,267,2,6.1,66,6.2,9,11,1,21,3,45,0,1,0.119,0,5.6,70.9,0.667,44.0,78.0,158.0,0.47,1.2
W (36-35),0,21,50.0,228,2,34,167,2,4.9,66,6.0,8,7,3,18,7,56,0,0,0.254,0,4.43,69.4,0.5,37.0,39.0,113.0,0.462,1.23
W (45-38),5,23,65.6,364,4,39,148,2,3.8,73,7.0,12,8,3,23,6,35,3,2,0.313,0,3.43,67.6,0.75,42.0,20.0,107.0,0.543,1.11
